epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.957,1.52225,2.03251,1.43421,0.83698,0.27174,0.30308,0.16331,1.56006,1.51441,1.48009,0.00332846,0.00332846,0.00332846
2,227.617,1.54655,1.63504,1.44381,0.78341,0.21707,0.23973,0.11889,1.76752,1.8083,1.65726,0.00659584,0.00659584,0.00659584
3,334.822,1.65219,1.66992,1.5346,0.75146,0.20265,0.20957,0.09601,1.95965,1.89124,1.84485,0.00979722,0.00979722,0.00979722
4,442.33,1.72177,1.70717,1.59517,0.29686,0.21337,0.24265,0.11684,1.84956,1.70282,1.74295,0.009703,0.009703,0.009703
5,549.296,1.66982,1.62936,1.56794,0.81148,0.23243,0.26603,0.1298,1.77416,1.62032,1.71457,0.009604,0.009604,0.009604
6,656.757,1.63598,1.56267,1.54422,0.30616,0.23196,0.26389,0.13397,1.71621,1.56948,1.67326,0.009505,0.009505,0.009505
7,763.973,1.59701,1.51699,1.52526,0.83319,0.2507,0.29612,0.15625,1.69308,1.44708,1.62855,0.009406,0.009406,0.009406
8,871.108,1.58202,1.45751,1.5043,0.82594,0.26223,0.29227,0.15525,1.64664,1.44333,1.62039,0.009307,0.009307,0.009307
9,979.145,1.56837,1.4342,1.48898,0.83947,0.2561,0.29583,0.15614,1.65997,1.42134,1.59766,0.009208,0.009208,0.009208
10,1086.94,1.5512,1.40203,1.47487,0.82303,0.26659,0.30051,0.15639,1.63936,1.42023,1.59681,0.009109,0.009109,0.009109
11,1194.29,1.5345,1.39082,1.47248,0.34955,0.30975,0.31789,0.17451,1.60821,1.35409,1.56558,0.00901,0.00901,0.00901
12,1300.91,1.52589,1.35892,1.45669,0.81565,0.26249,0.30047,0.1625,1.60331,1.41968,1.56064,0.008911,0.008911,0.008911
13,1407.95,1.50219,1.33112,1.44453,0.48069,0.2955,0.32015,0.17806,1.59838,1.33776,1.55763,0.008812,0.008812,0.008812
14,1515.29,1.487,1.31493,1.43802,0.44859,0.28774,0.33846,0.18333,1.60506,1.29508,1.55537,0.008713,0.008713,0.008713
15,1622.49,1.48928,1.30457,1.43661,0.72573,0.28792,0.33734,0.18995,1.56614,1.30336,1.52682,0.008614,0.008614,0.008614
16,1729.87,1.47673,1.27562,1.42609,0.70819,0.28986,0.32609,0.18021,1.57387,1.3183,1.53091,0.008515,0.008515,0.008515
17,1837.02,1.46705,1.2776,1.42312,0.44335,0.28785,0.3233,0.18387,1.55199,1.28115,1.51469,0.008416,0.008416,0.008416
18,1944.04,1.46199,1.26824,1.41823,0.65219,0.28801,0.3362,0.19407,1.55306,1.25309,1.51248,0.008317,0.008317,0.008317
19,2051.22,1.45292,1.23168,1.41134,0.7137,0.30004,0.34702,0.20027,1.53474,1.24832,1.50822,0.008218,0.008218,0.008218
20,2158.28,1.44579,1.23984,1.40545,0.6817,0.29517,0.3371,0.19155,1.52598,1.239,1.49806,0.008119,0.008119,0.008119
21,2264.83,1.43685,1.22081,1.39856,0.50025,0.36265,0.38961,0.21421,1.55969,1.19817,1.50052,0.00802,0.00802,0.00802
22,2372.46,1.42996,1.22492,1.40028,0.60012,0.35378,0.39634,0.2294,1.54057,1.2088,1.49369,0.007921,0.007921,0.007921
23,2479.77,1.43817,1.21252,1.39278,0.38625,0.36691,0.36084,0.21037,1.50871,1.18919,1.47233,0.007822,0.007822,0.007822
24,2586.83,1.41237,1.18667,1.38133,0.50699,0.30124,0.35915,0.20814,1.51314,1.19895,1.48563,0.007723,0.007723,0.007723
25,2694.31,1.40914,1.17943,1.37783,0.42203,0.37138,0.3734,0.22058,1.50017,1.18393,1.4669,0.007624,0.007624,0.007624
26,2801.28,1.40469,1.17404,1.37321,0.4698,0.35692,0.3791,0.22293,1.50699,1.1833,1.47064,0.007525,0.007525,0.007525
27,2908.07,1.39829,1.16058,1.37092,0.71642,0.33065,0.38147,0.22212,1.52272,1.18104,1.47693,0.007426,0.007426,0.007426
28,3015.55,1.39885,1.16467,1.37428,0.54764,0.35599,0.39876,0.23511,1.49631,1.16073,1.46386,0.007327,0.007327,0.007327
29,3122.85,1.39214,1.14929,1.36061,0.62669,0.34009,0.38486,0.22515,1.49075,1.13778,1.45902,0.007228,0.007228,0.007228
30,3229.67,1.38835,1.14563,1.36223,0.5145,0.30892,0.36235,0.21642,1.47103,1.15478,1.4505,0.007129,0.007129,0.007129
31,3336.56,1.38576,1.1331,1.35562,0.45347,0.35001,0.38745,0.22916,1.47573,1.12447,1.44332,0.00703,0.00703,0.00703
32,3443.49,1.37762,1.12926,1.35137,0.52653,0.33972,0.3899,0.231,1.47377,1.13083,1.44482,0.006931,0.006931,0.006931
33,3550.12,1.37087,1.12496,1.35444,0.56772,0.31613,0.39278,0.23534,1.46007,1.13314,1.43593,0.006832,0.006832,0.006832
34,3657.19,1.3697,1.11388,1.35129,0.46933,0.40085,0.40031,0.23651,1.46627,1.12378,1.43889,0.006733,0.006733,0.006733
35,3764.21,1.36794,1.1162,1.34852,0.58258,0.36763,0.40662,0.24696,1.45736,1.12039,1.43143,0.006634,0.006634,0.006634
36,3871.43,1.3577,1.0955,1.34286,0.73696,0.37817,0.40148,0.23893,1.45559,1.10336,1.43021,0.006535,0.006535,0.006535
37,3978.82,1.34942,1.09868,1.3416,0.53235,0.40585,0.44227,0.27015,1.44466,1.1031,1.42447,0.006436,0.006436,0.006436
