epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.609,1.51177,1.88764,1.42881,0.67192,0.55981,0.59781,0.31824,1.56268,1.58556,1.4952,0.00332846,0.00332846,0.00332846
2,225.916,1.53747,1.55102,1.44117,0.60906,0.45625,0.50203,0.24359,1.76512,1.6774,1.66213,0.00659584,0.00659584,0.00659584
3,333.208,1.64939,1.61092,1.53704,0.56113,0.39412,0.4223,0.18686,1.99772,1.82244,1.88022,0.00979722,0.00979722,0.00979722
4,440.702,1.7182,1.66,1.59747,0.6279,0.44945,0.50394,0.2504,1.77369,1.60441,1.69313,0.009703,0.009703,0.009703
5,547.964,1.6709,1.58173,1.56721,0.64224,0.47552,0.52647,0.26083,1.75288,1.53604,1.67447,0.009604,0.009604,0.009604
6,655.44,1.63244,1.52031,1.54458,0.62378,0.46379,0.51193,0.26018,1.75932,1.53833,1.68848,0.009505,0.009505,0.009505
7,763.284,1.59911,1.47728,1.52915,0.64371,0.51195,0.56061,0.29197,1.68353,1.47791,1.63225,0.009406,0.009406,0.009406
8,870.243,1.57736,1.42152,1.50666,0.65204,0.50361,0.55939,0.30023,1.64052,1.44643,1.61398,0.009307,0.009307,0.009307
9,977.334,1.56448,1.39781,1.49645,0.64916,0.52776,0.57396,0.30043,1.659,1.39309,1.59592,0.009208,0.009208,0.009208
10,1084.36,1.54975,1.36932,1.48112,0.68784,0.53954,0.59671,0.32114,1.61822,1.32721,1.58616,0.009109,0.009109,0.009109
11,1190.79,1.5344,1.35195,1.47843,0.66576,0.54816,0.59727,0.32215,1.60168,1.33376,1.57548,0.00901,0.00901,0.00901
12,1297.55,1.51875,1.31769,1.45913,0.66135,0.53548,0.59043,0.31721,1.60596,1.3661,1.56545,0.008911,0.008911,0.008911
13,1404.65,1.49931,1.297,1.44673,0.6929,0.54798,0.61785,0.338,1.59755,1.29205,1.55715,0.008812,0.008812,0.008812
14,1511.01,1.48291,1.28296,1.43871,0.67335,0.56342,0.62002,0.33998,1.57847,1.25456,1.5446,0.008713,0.008713,0.008713
15,1618.2,1.49175,1.27371,1.44063,0.68437,0.56507,0.62131,0.34513,1.56722,1.28735,1.53916,0.008614,0.008614,0.008614
16,1724.97,1.47191,1.24549,1.43147,0.68918,0.55956,0.62035,0.34012,1.58196,1.28293,1.53715,0.008515,0.008515,0.008515
17,1831.37,1.465,1.24477,1.42891,0.71171,0.54864,0.62772,0.34773,1.53928,1.26588,1.51391,0.008416,0.008416,0.008416
18,1937.87,1.46271,1.24124,1.4211,0.68908,0.5636,0.62929,0.35417,1.54024,1.23464,1.51325,0.008317,0.008317,0.008317
19,2044.6,1.44912,1.20896,1.41531,0.69052,0.58897,0.64333,0.36425,1.52284,1.21383,1.50047,0.008218,0.008218,0.008218
20,2151.67,1.44351,1.21021,1.40719,0.70132,0.58603,0.64538,0.36167,1.5338,1.19633,1.49983,0.008119,0.008119,0.008119
21,2258.44,1.43254,1.19078,1.40134,0.69193,0.58842,0.64408,0.36049,1.54319,1.20358,1.49903,0.00802,0.00802,0.00802
22,2364.68,1.43072,1.19124,1.40718,0.70169,0.58374,0.65059,0.36518,1.5376,1.1871,1.50509,0.007921,0.007921,0.007921
23,2470.71,1.43295,1.18644,1.39559,0.7001,0.58952,0.65341,0.37368,1.51361,1.17117,1.47736,0.007822,0.007822,0.007822
24,2577.77,1.41343,1.15666,1.38868,0.71422,0.57923,0.6523,0.3688,1.50417,1.18876,1.48069,0.007723,0.007723,0.007723
25,2684.22,1.40625,1.15417,1.38346,0.71053,0.59099,0.65684,0.37304,1.51348,1.14186,1.48595,0.007624,0.007624,0.007624
26,2789.95,1.40629,1.14892,1.37981,0.72877,0.57243,0.65129,0.37155,1.50796,1.15525,1.4803,0.007525,0.007525,0.007525
27,2896.15,1.39992,1.13133,1.37682,0.71428,0.5921,0.66075,0.37931,1.50833,1.14768,1.47657,0.007426,0.007426,0.007426
28,3002.54,1.4004,1.13684,1.38106,0.72236,0.59062,0.66108,0.38038,1.49598,1.14315,1.47096,0.007327,0.007327,0.007327
29,3109.19,1.39398,1.12249,1.36768,0.7148,0.5932,0.66135,0.38253,1.47979,1.13007,1.46634,0.007228,0.007228,0.007228
30,3215.47,1.38339,1.12101,1.3669,0.73601,0.60349,0.67836,0.39151,1.47404,1.10676,1.456,0.007129,0.007129,0.007129
31,3322.11,1.37713,1.10799,1.35883,0.75545,0.58511,0.66992,0.39084,1.47641,1.11946,1.45454,0.00703,0.00703,0.00703
32,3428.47,1.37843,1.10234,1.3576,0.7274,0.61103,0.67686,0.39099,1.47395,1.09575,1.44754,0.006931,0.006931,0.006931
33,3535.06,1.36921,1.09669,1.35904,0.7339,0.60484,0.67448,0.38912,1.47732,1.11385,1.44693,0.006832,0.006832,0.006832
34,3640.31,1.36962,1.09126,1.35508,0.73488,0.59974,0.67447,0.39487,1.45918,1.10128,1.43879,0.006733,0.006733,0.006733
35,3745.93,1.36655,1.09527,1.35111,0.7229,0.60478,0.67111,0.3937,1.46924,1.10195,1.44347,0.006634,0.006634,0.006634
36,3852.56,1.35831,1.06903,1.34545,0.73537,0.60328,0.67777,0.39757,1.45479,1.08329,1.43372,0.006535,0.006535,0.006535
37,3959.55,1.34781,1.07317,1.34186,0.72312,0.61212,0.68326,0.39959,1.45099,1.07255,1.4307,0.006436,0.006436,0.006436
38,4066.37,1.35272,1.07025,1.34049,0.73692,0.61875,0.688,0.40318,1.44731,1.07015,1.43043,0.006337,0.006337,0.006337
39,4172.45,1.34573,1.05645,1.33682,0.73548,0.61342,0.68833,0.4052,1.44021,1.06143,1.42521,0.006238,0.006238,0.006238
40,4279.4,1.34096,1.06329,1.33312,0.74434,0.60607,0.6854,0.40068,1.44764,1.07377,1.42638,0.006139,0.006139,0.006139
41,4387.03,1.3402,1.05158,1.33754,0.73526,0.61314,0.68665,0.40184,1.44119,1.0598,1.424,0.00604,0.00604,0.00604
42,4495.09,1.338,1.04138,1.32645,0.74317,0.61324,0.68897,0.40525,1.43794,1.05864,1.4154,0.005941,0.005941,0.005941
43,4603.44,1.33453,1.04313,1.32297,0.74898,0.61265,0.69198,0.40671,1.44719,1.04905,1.42089,0.005842,0.005842,0.005842
44,4711.3,1.32533,1.03393,1.32167,0.73635,0.62794,0.69119,0.40776,1.4364,1.04873,1.41789,0.005743,0.005743,0.005743
45,4819.32,1.31475,1.01998,1.32052,0.74384,0.61173,0.68922,0.40872,1.43437,1.05285,1.41713,0.005644,0.005644,0.005644
46,4926.99,1.32011,1.0165,1.31814,0.7533,0.60846,0.69161,0.40855,1.43634,1.04412,1.42028,0.005545,0.005545,0.005545
47,5035.59,1.31776,1.01837,1.3193,0.73906,0.61893,0.69514,0.41248,1.4312,1.03958,1.41221,0.005446,0.005446,0.005446
48,5143.4,1.30999,1.01387,1.3108,0.74447,0.6218,0.698,0.41264,1.42639,1.03728,1.4072,0.005347,0.005347,0.005347
49,5250.53,1.30835,1.01337,1.31349,0.74346,0.62518,0.69927,0.41351,1.43073,1.03334,1.41479,0.005248,0.005248,0.005248
50,5357.76,1.30169,1.00934,1.30904,0.76121,0.61544,0.69983,0.41463,1.43254,1.03392,1.40975,0.005149,0.005149,0.005149
51,5466.25,1.29734,0.99238,1.30313,0.76135,0.61287,0.69771,0.41389,1.43272,1.03484,1.4088,0.00505,0.00505,0.00505
52,5573.18,1.2928,0.98517,1.30025,0.748,0.6204,0.69899,0.41336,1.43213,1.03047,1.40855,0.004951,0.004951,0.004951
